id is 381185226; userId is 10921915
[Calculated Speed, Provided Speed], Difference

[6.602568574725504, 7.218], -0.6154314252744957
[8.80393757031248, 9.8208], -1.0168624296875208
[11.305313564872943, 14.3532], -3.0478864351270563
[12.75024489213824, 16.2972], -3.546955107861761
[13.537427092789372, 20.1276], -6.590172907210629
[14.5043241560886, 20.34], -5.8356758439114
[14.891566988654384, 21.1176], -6.226033011345615
[15.024114213154423, 22.6728], -7.648685786845576
[14.606724246601676, 24.9444], -10.337675753398326
[13.729808846437805, 25.4412], -11.711391153562193
[14.390325186522622, 23.0112], -8.620874813477377
[16.240187064848662, 21.5316], -5.291412935151339
[16.527387161506926, 23.6448], -7.117412838493074
[16.49766693377288, 24.4692], -7.971533066227121
[17.99181547359835, 25.6932], -7.70138452640165
[17.479936164547848, 27.5292], -10.049263835452152
[17.870320242964738, 28.134], -10.263679757035263
[17.651236194560134, 28.548], -10.896763805439864
[13.589433857888052, 28.2132], -14.623766142111949
[11.367614074332055, 19.98], -8.612385925667946
[14.883994816155898, 19.2816], -4.397605183844103
[14.893255432551408, 22.2264], -7.333144567448594
[14.77657325341688, 24.174], -9.39742674658312
[15.207550066261284, 23.9508], -8.743249933738717
[14.765138293583341, 25.2864], -10.52126170641666
[14.38527834996903, 24.7176], -10.332321650030972
[15.077678432122601, 24.2532], -9.175521567877398
[15.88297711193825, 24.0264], -8.14342288806175
[15.522414302013427, 24.4836], -8.961185697986572
[18.348215400965056, 28.1448], -9.796584599034944
[21.17014548335201, 29.8908], -8.72065451664799
[23.691225351523318, 33.8256], -10.134374648476683
[23.0908357713315, 35.2152], -12.124364228668504
[18.556521758583173, 34.1244], -15.567878241416828
[15.993479967921399, 33.0984], -17.1049200320786
[13.005294665359502, 26.5932], -13.587905334640498
[11.781302909354553, 23.1588], -11.377497090645447
[13.352731256003498, 19.2312], -5.878468743996503
[13.52099932650947, 20.0304], -6.50940067349053
[14.60272746096842, 19.926], -5.323272539031578
[15.418437277265966, 21.6612], -6.242762722734035
[17.183895529625385, 22.8852], -5.701304470374616
[18.96246593935583, 28.6704], -9.70793406064417
[19.25350288768497, 30.9708], -11.71729711231503
[20.419121520918797, 30.9708], -10.551678479081204
[21.278751230840314, 33.3864], -12.107648769159688
[22.015489267949206, 34.1244], -12.108910732050795
[22.130191349714785, 34.6608], -12.530608650285217
[22.687201171473223, 35.5392], -12.851998828526778
[21.891229700454538, 36.6696], -14.778370299545465
[22.24986916329948, 35.7012], -13.45133083670052
[22.61544401856191, 35.9496], -13.334155981438087
[22.197842873670268, 35.9496], -13.751757126329728
[23.072280802715145, 36.1188], -13.046519197284855
[22.44341114688181, 36.4608], -14.017388853118188
[22.515353927864208, 36.6372], -14.121846072135792
[22.882669846571016, 36.9864], -14.103730153428987
[22.887727965642036, 37.1484], -14.260672034357967
[22.855678238118212, 37.1124], -14.256721761881789
[21.41674677114973, 36.5832], -15.16645322885027
[21.00618317190167, 34.146], -13.13981682809833
[20.613906511377056, 33.7284], -13.114493488622944
[20.997565959161584, 33.5088], -12.511234040838417
[21.02704012103519, 33.8796], -12.852559878964815
[20.636828477970703, 33.9984], -13.361571522029294
[20.722021874940033, 33.2748], -12.552778125059966
[20.974584794806976, 33.1308], -12.156215205193025
[21.969938786025107, 34.3188], -12.348861213974896
[20.4698416725998, 34.9452], -14.475358327400201
[19.45725507697755, 32.8464], -13.389144923022453
[18.931123661325433, 31.7556], -12.824476338674568
[17.888681600096298, 31.3632], -13.474518399903701
[17.5161513446945, 29.7792], -12.2630486553055
[18.15457587931897, 28.8792], -10.724624120681032
[16.974060914686007, 28.3428], -11.368739085313994
[16.22226297769888, 28.3428], -12.120537022301122
[14.836746975462905, 26.946], -12.109253024537097
[14.818849862918686, 26.208], -11.389150137081312
[14.670551477948674, 25.1748], -10.504248522051327
[14.66852564936405, 24.768], -10.099474350635951
[13.499064302653931, 23.1912], -9.692135697346068
[12.685392472569381, 22.7088], -10.023407527430619
[14.25955670202862, 22.0536], -7.794043297971379
[14.447857666710526, 22.1184], -7.670542333289475
[14.719176534496086, 22.1184], -7.3992234655039155
[17.00603989490417, 23.5476], -6.541560105095829
[16.70131164907813, 24.372], -7.670688350921871
[16.969134671624747, 26.388], -9.418865328375254
[18.39775225468232, 28.1376], -9.739847745317679
[18.24623410862779, 28.8792], -10.632965891372212
[20.207367740649357, 28.8792], -8.671832259350644
[23.508941685583984, 36.6156], -13.106658314416016
[26.40717248916535, 38.6496], -12.242427510834649
[27.640990175068012, 40.4928], -12.85180982493199
[28.68620125325136, 42.6348], -13.948598746748637
[29.80394773745087, 44.8848], -15.08085226254913
[31.192012161916328, 46.1016], -14.90958783808367
[32.896233244382906, 47.3868], -14.490566755617095
[31.909039588683566, 49.8564], -17.947360411316435
[31.82374614588544, 50.6808], -18.857053854114557
[31.390020363994424, 50.9724], -19.582379636005577
[30.82350697144851, 50.4684], -19.644893028551493
[28.252854744395208, 50.4684], -22.215545255604795
[26.466641927845927, 44.4708], -18.00415807215407
[25.27612210697141, 43.4016], -18.12547789302859
[23.14352221962314, 42.444], -19.300477780376863
[20.245050934466825, 37.2924], -17.047349065533176
[18.710815560398643, 31.4856], -12.774784439601358
[18.69495172185358, 30.978], -12.28304827814642
[18.419192928726023, 30.978], -12.558807071273979
[19.208626076318303, 30.2472], -11.038573923681696
[20.71674078978097, 32.4828], -11.766059210219026
[18.96547440223045, 33.1128], -14.147325597769552
[17.09851113194297, 31.104], -14.005488868057029
[16.218896943426525, 27.5364], -11.317503056573475
[16.13086342061594, 26.3088], -10.177936579384063
[14.871288418572847, 25.0236], -10.152311581427151
[14.275192135874885, 24.3108], -10.035607864125115
[13.81452168201723, 23.1408], -9.32627831798277
[13.730515149065278, 22.8636], -9.133084850934724
[13.931541998632758, 22.7304], -8.798858001367241
[14.436003294507634, 22.7304], -8.294396705492366
[15.36095553816752, 22.3992], -7.03824446183248
[16.365494836180243, 26.1324], -9.766905163819757
[18.168388352675265, 28.0368], -9.868411647324734
[18.061282038420977, 29.322], -11.260717961579022
[18.73638203220177, 29.5488], -10.812417967798229
[19.428194586966157, 30.6072], -11.179005413033842
[15.850117904647787, 29.2104], -13.360282095352213
[12.075845259491125, 26.5824], -14.506554740508875
[13.873671543193375, 21.1068], -7.233128456806625
[14.994499968451624, 21.1644], -6.1699000315483765
[21.00060326379721, 27.7344], -6.733796736202791
[22.014946947701414, 31.6152], -9.600253052298587
[21.78116548070439, 32.1444], -10.363234519295606
[22.937723220396204, 33.2568], -10.319076779603794
[23.27919730186493, 35.0784], -11.799202698135073
[24.328278263454536, 36.936], -12.607721736545464
[24.54260779154969, 37.8432], -13.300592208450315
[24.577428686262714, 38.412], -13.834571313737285
[24.163626299711677, 38.9988], -14.835173700288326
[24.128977831615458, 39.1968], -15.067822168384545
[24.277898418624403, 39.3984], -15.1205015813756
[23.5722183244706, 38.9988], -15.426581675529402
[23.078161076501843, 37.8432], -14.76503892349816
[22.41052969456044, 37.1124], -14.70187030543956
[22.478310482954157, 36.2376], -13.759289517045843
[21.652505663691542, 36.1512], -14.49869433630846
[21.202743120301772, 34.7616], -13.55885687969823
[21.390933889549917, 34.6824], -13.291466110450084
[21.012841456360878, 34.6068], -13.593958543639122
[22.65453489025165, 32.9724], -10.31786510974835
[22.673283203500947, 41.3028], -18.62951679649905
[19.6286152718921, 38.9988], -19.3701847281079
[17.388718454929656, 31.7448], -14.356081545070346
[16.33535710172748, 27.1476], -10.812242898272519
[16.67367095957538, 26.676], -10.00232904042462
[18.242298953321352, 26.676], -8.433701046678646
[17.855591549844114, 27.5364], -9.680808450155887
[19.015065967218362, 29.5488], -10.533734032781638
[18.26935722526949, 30.4848], -12.215442774730509
[19.109801643464685, 30.2472], -11.137398356535314
